effective_date,added_ticker,added_name,removed_ticker,removed_name,reason,deletion_discretionary
2010-12-17,CVC,Cablevision,KG,King Pharmaceuticals,King was acquired by Pfizer.,False
2011-01-03,MMI,Motorola Mobility,MDP,Meredith Corp,Motorola completed the corporate spin-off of Motorola Mobility.,False
2011-02-25,JOYG,Joy Global,AYE,Allegheny Energy,Alleghany was acquired by First Energy.,False
2011-02-28,COV,Covidien,MFE,McAfee,McAfee was acquired by Intel.,False
2011-03-31,EW,Edwards Lifesciences,Q,Qwest Communications,Qwest was acquired by CenturyLink.,False
2011-04-01,BLK,BlackRock,GENZ,Genzyme,Genzyme was acquired by Sanofi Aventis.,False
2011-04-27,CMG,Chipotle Mexican Grill,NOVL,Novell,Novell was acquired by private equity firms.,False
2011-06-01,ANR,Alpha Natural Resources,MEE,Massey Energy,Alpha Natural Resources acquired Massey Energy.,False
2011-06-30,MPC,Marathon Oil,RSH,RadioShack,Market capitalization changes.,True
2011-07-05,ACN,Accenture,MI,Marshall & Ilsley,Marshall & Ilsley was acquired by Bank of Montreal.,False
2011-09-23,MOS,The Mosaic Company,NSM,National Semiconductor,National Semi was acquired by Texas Instruments.,False
2011-10-14,TEL,TE Connectivity,CEPH,Cephalon,Cephalon was acquired by Teva Pharmaceutical Industries.,False
2011-10-31,XYL,Xylem,ITT |,ITT,ITT Corp. completed the corporate spin-off of Xylem.,False
2011-11-18,CBE,Cooper Industries,JNS,Janus Capital Group,Market capitalization changes.,True
2011-12-12,GAS,AGL Resources.,GAS,Nicor Gas,"Nicor was acquired by AGL, which retained the GAS ticker.",False
2011-12-16,DLTR,Dollar Tree,WFR,MEMC Electronic Materials,Market capitalization changes.,True
2011-12-16,PRGO,Perrigo,MWW,Monster Worldwide,Market capitalization changes.,True
2011-12-16,BWA,BorgWarner,AKS,AK Steel,Market capitalization changes.,True
2011-12-20,TRIP,TripAdvisor,TLAB,Tellabs,Expedia completed the corporate spin-off of TripAdvisor.,False
2011-12-31,WPX,WPX Energy,CPWR,Compuware,Market capitalization changes.,True
2012-03-13,CCI,Crown Castle,CEG,Constellation Energy Group,Constellation was acquired by Exelon,False
2012-04-03,FOSL,Fossil Group,MHS,Medco Health Solutions,Medco was acquired by Express Scripts.,False
2012-04-23,PSX,Phillips 66,SVU,Supervalu,ConocoPhillips completed the corporate spin-off of Phillips 66.,False
2012-05-17,KMI,Kinder Morgan,EP,El Paso Corporation,El Paso was acquired by Kinder Morgan.,False
2012-05-21,ALXN,Alexion Pharmaceuticals,MMI,Motorola Mobility,Motorola Mobility was acquired by Google.,False
2012-06-05,LRCX,Lam Research,NVLS,Novellus Systems,Novellus Systems was acquired by Lam Research.,False
2012-06-29,MNST,Monster Beverage,SLE,Sara Lee Corporation,Split up of Sara Lee.,False
2012-07-02,STX,Seagate Technology,PGN,Progress Energy,Progress Energy was acquired by Duke Energy.,False
2012-07-31,ESV,Ensco plc,GR,Goodrich Corporation,Goodrich was acquired by United Technologies.,False
2012-09-05,LYB,LyondellBasell,SHLD,Sears Holdings,SHLD below public float threshold.,True
2012-10-01,PNR,Pentair,DV,DeVry,Tyco spin-off merged with Pentair.,False
2012-10-01,ADT,ADT,LXK,Lexmark,Tyco completed the corporate spin-off of ADT.,False
2012-10-02,MDLZ,Mondelez,KFT,Kraft Foods,Old Kraft Foods was renamed Mondelez.,False
2012-10-02,KRFT,Kraft Foods,ANR,Alpha Natural Resources,Kraft split into two companies.,False
2012-10-10,PETM,PetSmart,SUN,Sunoco,Sunoco was acquired by Energy Transfer Partners (ETP),False
2012-12-03,DG,Dollar General,CBE,Cooper Industries,Cooper was acquired by Eaton Corp. (ETN),False
2012-12-11,GRMN,Garmin,RRD,RR Donnelley,Market capitalization changes.,True
2012-12-21,DLPH,Delphi Automotive,TIE,Titanium Metals,TIE was acquired by Precision Cast Parts.,False
2013-01-02,ABBV,AbbVie,FII,Federated Investors,Abbott Labs completed the corporate spin-off of AbbVie.,False
2013-02-15,PVH,PVH,BIG,Big Lots,Market capitalization changes.,True
2013-04-30,REGN,Regeneron Pharmaceuticals,PCS,MetroPCS,A majority of MetroPCS was acquired by T-Mobile.,False
2013-05-08,MAC,Macerich,CVH,Coventry Health Care,CVH was acquired by Aetna.,False
2013-05-23,KSU,Kansas City Southern,DF,Dean Foods,DF was too small after spinoff of White Wave Foods.,False
2013-06-06,GM,General Motors,HNZ,Heinz,HNZ was acquired by a consortium.,False
2013-06-21,ZTS,Zoetis,FHN,First Horizon,Pfizer completed the corporate spin-off of Zoetis.,False
2013-07-01,NWSA,21st Century Fox,APOL,Apollo Education Group,Market capitalization changes.,True
2013-07-08,NLSN,Nielsen Holdings,S,Sprint Nextel,Softbank consortium purchase resulted in public float below 50%.,False
2013-09-10,DAL,Delta Air Lines,BMC,BMC Software,BMC was acquired by a consortium.,False
2013-09-20,AME,Ametek,SAI,SAIC,Market capitalization changes.,True
2013-09-20,VRTX,Vertex Pharmaceuticals,AMD,Advanced Micro Devices,Market capitalization changes.,True
2013-10-29,RIG,Transocean,DELL,Dell,Founder Michael Dell and Silver Lake Partners acquired Dell.,False
2013-11-13,KORS,Michael Kors,NYX,NYSE Euronext,ICE Exchange acquired NYSE Euronext.,False
2013-12-02,ALLE |,Allegion,JCP |,JCPenney,Ingersoll Rand completed the corporate spin-off of Allegion.,False
2013-12-10,GGP,General Growth Properties,MOLX,Molex,MOLX was acquired by Koch Industries.,False
2013-12-23,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes.,True
2013-12-23,FB,Facebook,TER,Teradyne,Market capitalization changes.,True
2013-12-23,MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes.,True
2014-01-24,TSCO,Tractor Supply,LIFE,Life Technologies,Life Technologies was acquired by Thermo Fisher Scientific.,False
2014-03-21,GMCR,Keurig Green Mountain,WPX,WPX Energy,Market capitalization changes.,True
2014-04-02,ESS,Essex Property Trust,CLF,Cliffs Natural Resources,Market capitalization changes.,True
2014-04-03,GOOGL,Google,,,Google Class C share distribution.,False
2014-05-01,NAVI,Navient,SLM,SLM Corporation,SLM completed the corporate spin-off of Navient.,False
2014-05-01,UA,Under Armour,BEAM,Suntory Global Spirits,Beam was acquired by Suntory.,False
2014-05-08,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquired LSI.,False
2014-06-20,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes.,True
2014-07-01,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquired Forest Laboratories.,False
2014-07-02,MLM,Martin Marietta,X,United States Steel,Market capitalization changes.,True
2014-08-06,DISCK,Discovery Communications,,,Class C share distribution.,False
2014-08-18,MNK,Mallinckrodt,RDC,Rowan Companies,Market capitalization changes.,True
2014-09-20,URI,United Rentals,BTU,Peabody Energy,Market capitalization changes.,True
2014-09-20,UHS,Universal Health Services,GHC,Graham Holdings,Market capitalization changes.,True
2014-11-05,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market capitalization changes.,True
2014-12-05,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market capitalization changes.,True
2015-01-27,ENDP,Endo International,COV,Covidien,Covidien was acquired by Medtronic.,False
2015-01-27,HCA,HCA Holdings,SWY,Safeway,Safeway was acquired by a private equity consortium.,False
2015-03-12,SWKS,Skyworks,PETM,PetSmart,PetSmart was acquired by private equity consortium.,False
2015-03-18,HSIC,Henry Schein,CFN,Carefusion,Carefusion was acquired by Becton Dickinson.,False
2015-03-23,AAL,American Airlines Group,AGN,Allergan,Allergan was acquired by Actavis (and changed its name to Allergan).,False
2015-03-23,HBI,Hanesbrands,AVP,Avon Products,Market capitalization changes.,True
2015-03-23,SLG,SL Green Realty,NBR,Nabors Industries,Market capitalization changes.,True
2015-03-23,EQIX,Equinix,DNR,Denbury Resources,Market capitalization changes.,True
2015-04-07,O,Realty Income Corporation,WIN,Windstream Communications,Market capitalization changes.,True
2015-06-11,QRVO,Qorvo,LO,Lorillard Tobacco Company,Lorillard was acquired.,False
2015-07-01,BXLT,Baxalta,QEP,QEP Resources,Baxter completed the corporate spin-off of Baxalta.,False
2015-07-01,JBHT,J.B. Hunt,TEG,Integrys Energy Group,Integrys was acquired.,False
2015-07-02,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.,False
2015-07-06,KHC,Kraft Heinz,KRFT,Kraft Foods,Kraft merged with Heinz.,False
2015-07-08,AAP,Advance Auto Parts,FDO,Family Dollar,Family Dollar was acquired.,False
2015-07-20,PYPL,PayPal,NE,Noble Corporation,eBay completed the corporate spin-off of PayPal.,False
2015-07-29,SIG,Signet Jewelers,DTV,DirecTV,DirecTV was acquired by AT&T.,False
2015-08-28,ATVI,Activision Blizzard,PLL,Pall Corporation,Pall was acquired.,False
2015-09-02,UAL,United Continental Holdings,HSP,Hospira,Hospira was acquired.,False
2015-09-18,CMCSK,Comcast Class K Special,,,Share class methodology change.,False
2015-09-18,NWS,News Corporation Class B,,,Share class methodology change.,False
2015-09-18,FOX,Twenty-First Century Fox Class B,,,Share class methodology change.,False
2015-10-07,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization changes.,True
2015-11-02,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp,HPQ completed the corporate spin-off of Hewlett Packard Enterprise.,False
2015-11-18,SYF,Synchrony Financial,GNW,Genworth Financial,GE completed the corporate spin-off of Synchrony Financial.,False
2015-11-19,ILMN,Illumina,SIAL,Sigma-Aldrich,Sigma-Aldrich was acquired by Merck KGaA.,False
2015-12-01,CSRA,CSRA,CSC,Computer Sciences Corporation,CSC completed the corporate spin-off off CSRA.,False
2015-12-15,,,CMCSK,Comcast Series K,CMCSK shares were no longer listed.,True
2015-12-29,CHD,Church & Dwight,ALTR,Altera,Altera was acquired by Intel.,False
2016-01-05,WLTW,Willis Towers Watson,FOSL,Fossil Group,Willis Holdings merged with Towers Watson and was renamed Willis Towers Watson.,False
2016-01-19,EXR,Extra Space Storage,ACE,Chubb,ACE Ltd acquired Chubb and retained the CB ticker.,False
2016-02-01,CFG,Citizens,PCP,Precision Castparts Corporation,,True
2016-02-01,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,,True
2016-02-22,CXO,Concho Resources,PCL,Plum Creek Timber,Weyerhaeuser acquired Plum Creek Timber.,False
2016-03-04,AWK,American Water Works,CNX,Consol Energy,,True
2016-03-07,UDR,UDR,GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain.,False
2016-03-30,CNC,Centene Corporation,ESV,Ensco,Centene acquired Health Net.,False
2016-03-30,HOLX,Hologic,POM,Pepco Holdings,Exelon acquired Pepco.,False
2016-04-04,FL,Foot Locker,CAM,Cameron International,Schlumberger acquired Cameron.,False
2016-04-08,UA,Under Armour (Class C),,,Under Armour distribution of second class of stock.,False
2016-04-18,ULTA,Ulta Beauty,THC,Tenet Healthcare,,True
2016-04-25,GPN,Global Payments,GME,GameStop,Global Payments acquired Heartland Payment Systems.,False
2016-05-03,AYI,Acuity Brands,ADT,ADT,ADT was acquired by Apollo.,False
2016-05-13,ALK,Alaska Air Group,SNDK,SanDisk,Sandisk was acquired by Western Digital.,False
2016-05-18,DLR,Digital Realty,TWC,Time Warner Cable,Time Warner Cable was acquired by Charter.,False
2016-05-23,LKQ,LKQ Corporation,ARG,Airgas,Airgas was acquired by Air Liquide.,False
2016-05-31,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,Coca-Cola Enterprises merged with European bottlers.,False
2016-06-03,TDG,TransDigm Group,BXLT,Baxalta,SHPG acquired Baxalta.,False
2016-06-22,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,Cablevision Systems was acquired by Altice.,False
2016-07-01,ALB,Albemarle Corporation,TE,TECO Energy,TECO Energy was acquired by EMA.,False
2016-07-01,LNT,Alliant Energy Corp,GAS,AGL Resources,AGL Resources was acquired by Southern Company.,False
2016-07-05,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX was acquired by TRP.,False
2016-09-06,MTD,Mettler Toledo,TYC,Tyco International,TYC acquired JCI and retained JCI ticker.,False
2016-09-08,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquired EMC.,False
2016-09-22,COO,The Cooper Companies,HOT,Starwood Hotels and Resorts,MAR acquired Starwood Hotels,False
2016-09-30,COTY,Coty,DO,Diamond Offshore Drilling,Siris Capital Group acquired Polycom.,False
2016-11-01,ARNC,Arconic,AA,Alcoa,Alcoa completed the corporate spin-off off Arconic.,False
2016-12-02,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization changes.,True
2016-12-02,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization changes.,True
2017-01-05,IDXX,Idexx Laboratories,STJ,St Jude Medical,Abbott Laboratories acquired St. Jude Medical.,False
2017-02-28,INCY,Incyte,SE,Spectra Energy,SE was acquired by ENB,False
2017-03-01,CBOE,Cboe Holdings,PBI,Pitney Bowes,CBOE acquired BATS.,False
2017-03-02,REG,Regency Centers,ENDP,Endo International,Regency Centers acquired EQY.,False
2017-03-13,DISH,Dish Network,LLTC,Linear Technology,Analog Devices acquired Linear Technology.,False
2017-03-16,SNPS,Synopsys,HAR,Harman International,Samsung Electronics acquired Harman International Industries.,False
2017-03-20,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization changes.,True
2017-03-20,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization changes.,True
2017-03-20,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization changes.,True
2017-04-04,DXC,DXC Technology,SWN,Southwestern Energy,"HPE completed the corporate spin-off of Everett, merged with CSC to form DXC Technology.",False
2017-04-05,IT,Gartner,DNB,Dun & Bradstreet,Gartner acquired CEB.,False
2017-06-02,INFO,IHS Markit,TGNA,Tegna,TGNA completed the corporate spin-off of Cars.com.,False
2017-06-19,HLT,Hilton,YHOO,Yahoo!,Verizon acquired Yahoo operations; remainder of Yahoo became Altaba.,False
2017-06-19,RE,Everest Re,MJN,Mead Johnson,Reckitt Benckiser acquired Mead Johnson Nutrition.,False
2017-06-19,ANSS,Ansys,R,Ryder System,Market capitalization changes.,True
2017-06-19,ALGN,Align Technology,TDC,Teradata,Market capitalization changes.,True
2017-07-07,BKR,Baker Hughes,BHI,Baker Hughes,Baker Hughes merged with GE Oil & Gas to form a new company.,False
2017-07-26,MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.,False
2017-07-26,RMD,ResMed,MNK,Mallinckrodt,Market capitalization changes.,True
2017-07-26,PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization changes.,True
2017-07-26,AOS,A. O. Smith,BBBY,Bed Bath & Beyond,Market capitalization changes.,True
2017-07-26,DRE,Duke Realty,RIG,Transocean,Market capitalization changes.,True
2017-08-08,BHF,Brighthouse Financial,AN,AutoNation,MetLife completed the corporate spin-off of Brighthouse Financial.,False
2017-08-29,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon acquired Whole Foods Market.,False
2017-09-01,DWDP,DuPont,DOW,Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc.,False
2017-09-01,SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.,False
2017-09-18,CDNS,Cadence Design Systems,SPLS,Staples,Sycamore Partners acquired Staples.,False
2017-10-13,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink acquired Level 3 Communications.,False
2017-11-15,IQV,IQVIA,Q,QuintilesIMS,QuintilesIMS changed its name to IQVIA and ticker symbol from Q to IQV.,True
2018-01-03,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired CR Bard.,False
2018-03-07,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired Scripps Networks Interactive.,False
2018-03-19,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization changes.,True
2018-03-19,SIVB,SVB Financial Group,PDCO,Patterson Companies,Market capitalization changes.,True
2018-03-19,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization changes.,True
2018-04-04,MSCI,MSCI,CSRA,CSRA,General Dynamics acquired CSRA.,False
2018-05-31,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide completed the corporate spin-off of Wyndham Hotels & Resorts.,False
2018-06-05,EVRG,Evergy,NAVI,Navient,Westar Energy acquired Great Plains Energy and changed name to Evergy.,False
2018-06-07,TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.,False
2018-06-18,HFC,HollyFrontier,AYI,Acuity Brands,Market capitalization changes.,True
2018-06-18,BR,Broadridge Financial Solutions,RRC,Range Resources,Market capitalization changes.,True
2018-06-20,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.,False
2018-07-02,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS was acquired by Keurig Green Mountain.,False
2018-08-28,ANET,Arista Networks,GGP,GGP Inc.,GGP was acquired by Brookfield Property Partners.,False
2018-09-14,WCG,WellCare,XL,XL Group,XL was acquired by Axa.,False
2018-10-01,ROL,Rollins,ANDV,Andeavor,ANDV was acquired by Marathon Petroleum.,False
2018-10-11,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC was acquired by KKR.,False
2018-11-06,KEYS,Keysight,CA,CA Technologies,CA was acquired by Broadcom.,False
2018-11-13,JKHY,Jack Henry & Associates,EQT,EQT Corporation,EQT completed the corporate spin-off of ETRN.,False
2018-12-03,LW,Lamb Weston,COL,Rockwell Collins,UTX acquired Rockwell Collins.,False
2018-12-03,FANG,Diamondback Energy,SRCL,Stericycle,Market capitalization changes.,True
2018-12-03,MXIM,Maxim Integrated,AET,Aetna,CVS acquired Aetna.,False
2018-12-24,CE,Celanese,ESRX,Express Scripts,Cigna acquired Express Scripts.,False
2019-01-02,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA.,False
2019-01-18,TFX,Teleflex,PCG,Pacific Gas & Electric Company,Pacific Gas & Electric Company filed for bankruptcy.,False
2019-02-15,ATO,Atmos Energy,NFX,Newfield Exploration,Encana acquired Newfield Exploration.,False
2019-02-27,WAB,Wabtec,GT,The Goodyear Tire & Rubber Company,Wabtec acquired GE transportation business,False
2019-03-19,FOX,Fox Corporation,FOX,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.,False
2019-03-19,FOXA,Fox Corporation,FOXA,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.,False
2019-04-02,DOW,Dow,BHF,Brighthouse Financial,DowDuPont completed the corporate spin-off of Dow Inc.,False
2019-06-03,DD,DuPont,DWDP,DuPont,DWDP changed to DD after spinning off Corteva.,False
2019-06-03,CTVA,Corteva,FLR,Fluor Corporation,DowDuPont completed the corporate spin-off of Corteva.,False
2019-06-07,BMS,Bemis,MAT,Mattel,Merger of Bemis and Amcor; Bemis was the surviving entity.,False
2019-06-11,AMCR,Amcor,BMS,Bemis,BMS changed to AMCR post merger with Amcor; subsequently renamed to Amcor.,False
2019-07-01,MKTX,MarketAxess,LLL,L3 Technologies,L3 was acquired by Harris Corporation.,False
2019-07-15,TMUS,T-Mobile US,RHT,Red Hat,IBM acquired Red Hat.,False
2019-08-09,IEX,IDEX Corporation,FL,Foot Locker,Market capitalization changes.,True
2019-08-09,LDOS,Leidos,APC,Anadarko Petroleum,Occidental Petroleum acquired Anadarko Petroleum.,False
2019-09-23,CDW,CDW,TSS,TSYS,Global Payments acquired TSS.,False
2019-09-26,NVR,NVR,JEF,Jefferies Financial Group,SPB completed the corporate spin-off of Jefferies Financial Group.,False
2019-10-03,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market capitalization changes.,True
2019-11-21,NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb acquired Celgene.,False
2019-12-05,WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.,False
2019-12-09,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.,False
2019-12-23,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization changes.,True
2019-12-23,STE,Steris,MAC,Macerich,Market capitalization changes.,True
2019-12-23,ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization changes.,True
2020-01-28,PAYC,Paycom,WCG,WellCare,Centene acquired Wellcare.,False
2020-03-02,IR,Ingersoll Rand,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.",False
2020-04-01,HWM,Howmet Aerospace,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained in the index.,True
2020-04-03,CARR,Carrier,,,United Technologies completed the corporate spin-off of Otis and Carrier and acquired Raytheon Company.,False
2020-04-03,OTIS,Otis Worldwide,,,United Technologies corporate spin-off of Otis and Carrier and acquired Raytheon Company.,False
2020-04-06,,,RTN,Raytheon Company,United Technologies corporate spin-off of Otis and Carrier and acquired Raytheon Company.,False
2020-04-06,,,M,Macy's,Market capitalization changes.,True
2020-05-12,DXCM,Dexcom,AGN,Allergan,Allergan was acquired by AbbVie.,False
2020-05-12,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization changes.,True
2020-05-22,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization changes.,True
2020-06-22,TDY,Teledyne,HOG,Harley-Davidson,Market capitalization changes.,True
2020-06-22,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization changes.,True
2020-06-22,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization changes.,True
2020-09-21,CTLT,Catalent,KSS,Kohl's,Market capitalization changes.,True
