n,accession,symbol,label,reason
65,0001435109-25-000001,ASA,Q,open market weighted average
66,0001435109-25-000002,ASA,Q,open market weighted average
67,0001437749-25-002381,OVLY,Q,open market via own LLC
68,0001437749-25-003438,FRD,Q,open market
69,0001437749-25-006175,DMLP,Q,open market via own LLC
70,0001437749-25-009171,WSR,Q,open market
71,0001477932-25-000288,COSM,N,debt exchange agreement
72,0001493152-25-000211,ACUT,Q,own vehicle (Panetta Partners) of the director; borderline
73,0001493152-25-001103,GLSI,Q,open market
74,0001493152-25-002717,ANIX,Q,open market
75,0001493152-25-005709,AEI,Q,open market weighted average
76,0001493152-25-006415,AREN,N,privately negotiated purchase from another director
77,0001520006-25-000084,MTDR,Q,open market; ESPP note is about holdings
78,0001520006-25-000096,MTDR,Q,open market; ESPP note is about holdings
79,0001524358-25-000067,VAC,Q,open market stated
80,0001524358-25-000069,VAC,Q,open market stated
81,0001562180-25-001224,UFCS,Q,open market
82,0001567619-25-000214,ODFL,N,purchase inside a 401(k) plan
83,0001571123-25-000048,SAIC,Q,open market
84,0001590895-25-000088,CZR,Q,open market
85,0001598665-25-000019,HRTG,Q,open market
86,0001628280-25-005390,SLM,Q,open market weighted average; DRIP note is about holdings
87,0001628280-25-006912,NE,Q,open market weighted average
88,0001628280-25-008674,HII,Q,open market weighted average
89,0001628280-25-009744,CWBC,N,employee stock purchase plan
90,0001628908-25-000046,EVH,Q,open market via own trust
91,0001683168-25-001654,TREE,Q,open market weighted average
92,0001694426-25-000041,DK,Q,open market via own LP
93,0001799742-25-000003,KNX,Q,open market
94,0001809104-25-000103,ALIT,Q,open market weighted average
95,0001840502-25-000022,TBLA,Q,open market weighted average via trust
96,0001868941-25-000019,FLNC,Q,open market
97,0001868941-25-000029,FLNC,Q,open market stated
98,0001868941-25-000031,FLNC,Q,open market stated
99,0001964333-25-000080,BHRB,Q,open market via family trust
100,0001999371-25-000179,NONE,N,issuer not traded; round-dollar purchase
